Season,Age,Squad,Competition,Matches_Played,Starts,Minutes,Ninety_Minutes,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Goals_per_90,Assists_per_90,Non_Penalty_Goals_per_90,Goals_Assists_NoPK_per_90
2002-2003,17,Sporting CP,Primeira Liga,25,18,1747,19.4,3,4,7,3,0,0,3,0,0.15,0.21,0.15,0.36
2003-2004,18,Manchester United,Premier League,29,15,1500,16.7,4,4,8,4,0,0,2,0,0.24,0.24,0.24,0.48
2004-2005,19,Manchester United,Premier League,33,32,2740,30.4,5,4,9,5,0,0,8,0,0.16,0.13,0.16,0.30
2005-2006,20,Manchester United,Premier League,33,27,2550,28.3,9,6,15,9,0,0,6,0,0.32,0.21,0.32,0.53
2006-2007,21,Manchester United,Premier League,34,33,2831,31.5,17,8,25,17,0,0,5,0,0.54,0.25,0.54,0.79
2007-2008,22,Manchester United,Premier League,34,32,2740,30.4,31,6,37,31,0,0,6,0,1.13,0.20,1.13,1.33
2008-2009,23,Manchester United,Premier League,33,32,2740,30.4,18,6,24,18,0,0,6,0,0.66,0.20,0.66,0.86
2009-2010,24,Real Madrid,La Liga,29,29,2597,28.9,26,10,36,22,4,5,3,0,0.90,0.35,0.76,1.25
2010-2011,25,Real Madrid,La Liga,34,34,3020,33.6,40,9,49,30,10,12,3,0,1.18,0.27,0.89,1.46
2011-2012,26,Real Madrid,La Liga,38,37,3420,38.0,46,12,58,35,11,13,3,0,1.21,0.32,0.92,1.53
2012-2013,27,Real Madrid,La Liga,34,34,3040,33.8,34,10,44,25,9,10,5,0,1.00,0.30,0.74,1.30
2013-2014,28,Real Madrid,La Liga,30,29,2600,28.9,31,11,42,24,7,8,3,0,1.07,0.38,0.83,1.45
2014-2015,29,Real Madrid,La Liga,35,35,3150,35.0,48,16,64,35,13,15,5,0,1.37,0.46,1.00,1.83
2015-2016,30,Real Madrid,La Liga,36,34,3000,33.3,35,11,46,28,7,8,4,0,1.05,0.33,0.84,1.38
2016-2017,31,Real Madrid,La Liga,29,26,2400,26.7,25,6,31,18,7,8,2,0,0.94,0.23,0.67,1.17
2017-2018,32,Real Madrid,La Liga,27,26,2300,25.6,26,5,31,18,8,9,3,0,1.02,0.20,0.70,1.21
2018-2019,33,Juventus,Serie A,31,30,2800,31.1,21,8,29,15,6,7,3,0,0.75,0.26,0.54,1.04
2019-2020,34,Juventus,Serie A,33,32,2900,32.2,31,5,36,21,10,11,4,0,0.96,0.15,0.65,1.12
2020-2021,35,Juventus,Serie A,33,32,2950,32.8,29,3,32,20,9,10,2,0,0.89,0.09,0.61,0.98
2021-2022,36,Manchester United,Premier League,30,27,2500,27.8,18,3,21,18,0,0,6,0,0.65,0.11,0.65,0.76
2022-2023,37,Al-Nassr,Saudi Pro League,16,16,1440,16.0,14,2,16,12,2,3,1,0,0.88,0.13,0.75,1.00
2023-2024,38,Al-Nassr,Saudi Pro League,31,31,2790,31.0,35,11,46,28,7,8,4,0,1.13,0.36,0.90,1.49
2024-2025,39,Al-Nassr,Saudi Pro League,30,29,2700,30.0,28,10,38,20,8,9,4,0,0.93,0.33,0.67,1.27
2025-2026,40,Al-Nassr,Saudi Pro League,25,24,2250,25.0,15,5,20,10,5,6,3,0,0.60,0.20,0.40,0.80
