Season,Age,Squad,Competition,Matches_Played,Starts,Minutes,Ninety_Minutes,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Goals_per_90,Assists_per_90,Goals_Assists_per_90,Non_Penalty_Goals_per_90,Goals_Assists_NoPK_per_90
2004-2005,17,Barcelona,La Liga,7,2,577,6.4,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16
2005-2006,18,Barcelona,La Liga,17,13,910,10.1,6,2,8,6,0,0,1,0,0.59,0.20,0.79,0.59,0.79
2006-2007,19,Barcelona,La Liga,26,25,2030,22.6,14,2,16,14,0,0,3,0,0.62,0.09,0.71,0.62,0.71
2007-2008,20,Barcelona,La Liga,28,25,2253,25.0,10,12,22,10,0,0,1,0,0.40,0.48,0.88,0.40,0.88
2008-2009,21,Barcelona,La Liga,31,28,2532,28.1,23,11,34,20,3,4,6,0,0.82,0.39,1.21,0.71,1.10
2009-2010,22,Barcelona,La Liga,35,31,2830,31.4,34,10,44,31,3,4,1,0,1.08,0.32,1.40,0.99,1.31
2010-2011,23,Barcelona,La Liga,33,31,2919,32.4,31,18,49,27,4,5,3,0,0.96,0.55,1.51,0.84,1.39
2011-2012,24,Barcelona,La Liga,37,35,3231,35.9,50,16,66,42,8,10,2,0,1.40,0.45,1.85,1.17,1.62
2012-2013,25,Barcelona,La Liga,32,28,2513,27.9,46,12,58,40,6,7,1,0,1.65,0.43,2.08,1.43,1.85
2013-2014,26,Barcelona,La Liga,31,28,2622,29.1,28,11,39,26,2,3,3,0,0.96,0.38,1.34,0.89,1.27
2014-2015,27,Barcelona,La Liga,38,37,3420,38.0,43,18,61,39,4,5,5,0,1.13,0.47,1.61,1.03,1.51
2015-2016,28,Barcelona,La Liga,33,31,2760,30.7,26,16,42,22,4,5,3,0,0.85,0.52,1.37,0.72,1.24
2016-2017,29,Barcelona,La Liga,34,33,3024,33.6,37,9,46,31,6,6,4,0,1.10,0.27,1.37,0.92,1.19
2017-2018,30,Barcelona,La Liga,36,34,3043,33.8,34,12,46,29,5,6,4,0,1.00,0.36,1.36,0.86,1.22
2018-2019,31,Barcelona,La Liga,34,31,2792,31.0,36,13,49,31,5,6,3,0,1.16,0.42,1.58,1.00,1.42
2019-2020,32,Barcelona,La Liga,33,30,2833,31.5,25,21,46,22,3,4,4,0,0.79,0.67,1.46,0.70,1.37
2020-2021,33,Barcelona,La Liga,35,33,3023,33.6,30,9,39,25,5,6,4,0,0.89,0.27,1.16,0.74,1.01
2021-2022,34,Paris Saint-Germain,Ligue 1,26,24,2153,23.9,6,14,20,6,0,0,3,0,0.25,0.59,0.84,0.25,0.84
2022-2023,35,Paris Saint-Germain,Ligue 1,32,32,2808,31.2,16,16,32,16,0,0,2,0,0.51,0.51,1.02,0.51,1.02
2023,36,Inter Miami,MLS,6,6,540,6.0,1,2,3,1,0,0,1,0,0.17,0.33,0.50,0.17,0.50
2024,37,Inter Miami,MLS,29,28,2500,27.8,11,12,23,11,0,0,3,0,0.40,0.43,0.83,0.40,0.83
2025,38,Inter Miami,MLS,27,26,2400,26.7,9,10,19,9,0,0,2,0,0.34,0.38,0.71,0.34,0.71
2026,39,Inter Miami,MLS,20,18,1800,20.0,4,5,9,4,0,0,1,0,0.20,0.25,0.45,0.20,0.45
